class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class,
3.532290,3.180472,3.268566,4.106278,3.652444,3.417505,3.623350,3.641420,3.751515,3.471369,3.341037,3.031235,3.835964,3.746213,3.848202,3.655274,3.596973,3.776854,2.853535,2.849542,1.769893,1.963044,2.422092,2.412507,1.500809,2.686734,2.110157,2.217661,2.993191,2.712392,3.412842,3.136437,3.293482,3.321336,2.701738,2.789158,3.445464,3.518447,3.317318,3.598599,2.739014,2.670684,3.019781,2.805528,2.759978,3.440463,2.954738,2.510094,2.683028,3.393103,2.902576,2.845679,3.576621,2.959500,3.146042,3.465701,3.015662,2.989546,3.734681,3.333840,3.611135,3.230781,3.147579,3.331940,3.576311,3.315687,3.618981,2.999618,
3.951606,3.593687,3.468421,5.060198,4.318086,4.001952,4.145274,4.014805,4.452201,4.199602,3.855412,3.600812,4.378859,4.609743,5.299102,3.998885,4.593675,3.836395,3.306691,2.865137,2.413584,3.238318,3.429459,3.110807,1.852961,2.999624,2.788613,3.277774,3.420809,3.394119,3.878214,3.205110,3.670181,3.572490,3.203455,3.224341,3.686518,3.455728,3.480247,3.828799,3.447206,2.782913,3.473380,3.163128,3.333523,3.300280,3.237740,2.838277,3.233148,4.163961,3.142468,3.260197,3.890784,3.897967,3.706421,3.423378,3.372903,3.350414,4.304804,3.517135,3.678266,3.611223,4.070425,4.185648,3.634951,3.917825,3.855426,3.291202,
3.969486,3.115649,2.957417,4.495931,3.754402,2.943542,3.669367,3.862136,3.730499,3.768960,3.232197,2.929537,3.780381,3.826889,4.201404,3.661342,3.215516,3.338846,3.350520,2.851462,2.377914,2.407911,2.445616,3.279828,1.509686,2.829486,2.246329,2.249818,3.299116,2.859432,3.474007,2.627603,3.306729,3.073353,3.018206,2.840978,2.862368,3.234881,2.983214,3.417296,2.852074,2.542965,2.936197,2.793021,2.916097,2.946453,2.686560,2.397377,2.411880,3.384222,3.175069,2.748647,3.048900,2.652194,3.177538,3.191956,2.966653,2.917763,3.598293,3.088593,3.368741,3.035991,3.193323,3.420934,3.468825,2.835383,2.987743,3.033624,
3.784784,3.138652,3.220354,4.296894,3.328762,3.036463,3.456895,4.262068,3.467700,4.005207,3.196782,2.635538,3.625090,4.084292,3.594839,3.390203,3.318631,3.522062,3.301157,3.286140,2.395201,2.845116,2.403483,2.423152,2.393867,3.297548,2.396369,2.402499,3.446060,2.918146,3.078944,2.746085,2.596092,2.986772,2.980666,2.707230,3.011609,3.316266,2.959720,3.476354,2.748343,2.605245,2.740786,3.185364,3.041498,2.940352,2.548970,2.606111,2.733757,3.474740,2.859760,2.792927,2.932775,1.955960,3.221423,3.308901,2.591986,2.617451,3.133368,3.029037,3.307506,3.033002,2.909732,2.984085,3.095769,2.607342,3.388274,2.773020,
3.764051,3.048904,3.102592,4.600113,3.743790,3.729945,3.887094,3.846338,3.766404,3.769399,3.684883,3.212579,4.007000,4.330229,4.060235,3.638906,3.415166,3.866268,3.223223,3.302293,1.507489,1.515796,2.244986,2.767907,1.989825,2.740654,2.108137,2.662761,3.579047,3.204103,3.424860,3.293014,3.182957,3.663020,3.078672,3.240143,3.157036,3.423202,3.058061,3.668311,3.258237,2.396320,2.937423,2.380182,3.511616,2.697869,3.015038,2.571980,2.677777,3.338957,3.147969,3.367203,3.601540,2.920700,3.160465,3.511159,3.031858,3.125586,3.714731,3.799154,4.121963,3.355495,3.421311,3.552583,3.411718,3.329942,3.915748,3.322150,
3.872634,2.976510,3.489155,4.620889,3.796969,2.895234,3.761528,3.926415,3.959795,3.801651,3.516591,3.170046,4.408438,3.795222,4.303966,3.836365,3.420815,4.057848,3.003279,3.293415,2.386688,2.842144,2.127800,2.414932,1.507916,2.773919,1.502867,2.266101,3.753304,2.667482,3.793505,2.980628,3.302409,3.439641,3.273379,2.972289,3.233276,3.366904,3.360650,3.618999,3.197132,2.545486,3.214407,2.406407,3.300254,3.097082,2.895045,2.388430,2.538103,3.727003,3.047160,3.154601,3.212599,2.816831,3.437033,3.344903,2.791116,3.104718,3.606756,3.671303,3.569483,3.076979,3.388954,3.286802,3.384181,3.299510,3.391101,2.868207,
3.284693,3.423088,3.390188,4.313297,3.478901,3.579917,3.732040,3.935101,3.640173,3.381217,3.670820,3.186871,4.111977,3.716403,4.129336,3.443236,3.497898,3.433219,2.853709,2.850841,1.941263,2.398569,2.393201,2.421166,1.503032,2.723694,2.138372,2.805881,3.340028,3.278916,3.640652,2.971575,3.111015,3.136012,2.414119,2.925639,3.618911,3.351863,3.032567,3.652543,2.842181,2.669725,2.854814,2.817376,2.848351,3.225262,2.996096,2.794480,2.943054,3.354473,3.028238,2.807746,3.434962,2.971575,3.544092,3.286522,2.944857,2.960179,3.413771,3.267924,3.509959,3.339564,3.253612,3.536263,3.437501,3.280281,3.484245,3.218202,
3.102814,3.185446,3.535513,4.518313,3.752478,3.140013,3.611796,3.864289,4.140326,3.414384,3.480823,3.226536,3.586106,3.301877,4.174843,3.446770,3.590292,3.563373,3.043212,3.292988,3.284070,1.518020,2.539829,2.401377,3.291399,2.481862,2.260982,2.498352,2.880047,2.427662,2.741642,3.039976,3.387828,2.844178,2.954870,3.126919,2.818491,3.256327,3.137570,3.352850,3.240818,2.721798,2.912192,2.745531,3.295975,2.638446,2.899506,3.035068,3.022132,3.187833,2.770991,2.274196,3.411277,2.952198,2.954924,2.829046,3.058993,3.122287,2.860161,3.566426,3.278378,2.716937,3.055473,3.404723,3.257854,3.851254,3.483275,2.914032,
3.660511,3.269068,3.225375,4.835622,4.086532,3.138582,3.664082,3.919561,4.339721,3.734276,3.673688,2.819034,4.643031,3.852625,4.900779,3.020660,3.831165,3.730182,2.861802,2.859800,1.522360,3.278211,2.403496,3.283897,3.267277,2.410603,2.409510,2.411191,3.229030,3.297359,3.304954,2.405266,3.248818,2.912907,2.545897,3.990919,3.020771,2.765617,3.286025,3.308330,2.760994,3.120264,2.524353,2.849466,2.868459,2.690233,2.761328,3.299427,2.873920,3.568387,3.072156,3.190569,2.772172,2.883339,2.753904,3.202959,3.222286,3.119122,3.769582,2.839105,3.308150,3.115618,3.043329,3.279732,2.712726,3.040470,3.292668,3.500514,
3.107609,2.692130,3.126826,4.032972,3.209583,2.946138,3.214444,3.321212,3.547192,3.263870,3.310645,2.649815,3.813476,3.355897,3.630576,3.186907,3.066340,3.515914,2.410283,2.839990,2.172583,2.402839,2.253503,2.281977,2.648174,2.647451,1.755212,2.286848,2.849989,2.409094,3.287741,2.702410,2.879154,3.158990,2.675798,2.880448,2.833477,2.999043,2.733264,2.961269,2.858216,2.318185,2.749066,2.512409,2.683688,2.652862,2.662606,2.103762,2.440225,2.675828,2.502786,2.746820,2.803117,2.525738,2.621743,2.973706,2.630104,2.715476,3.103899,3.171227,2.865658,2.834727,2.819562,3.020689,2.474014,2.994064,3.345845,2.955685,
3.221232,3.046724,3.129136,4.156908,3.438251,3.428818,3.821374,3.399317,3.799351,3.634545,3.509207,3.288933,4.103693,3.504503,3.893231,3.532174,3.418049,3.524072,2.403831,2.851124,1.995119,1.953860,2.451385,2.754564,2.221692,2.033019,2.090082,2.027185,2.955134,2.908025,3.625551,2.856683,3.264850,3.014620,2.698494,2.760965,3.095843,3.337378,2.754010,3.252931,3.038827,2.353065,2.764993,2.486386,3.003190,3.016171,2.935793,2.110575,2.780106,2.942727,2.995418,2.635924,3.212435,2.890625,3.166928,3.218893,2.740918,3.138536,3.736754,3.335463,3.575444,3.033669,3.071780,3.659995,3.051678,3.435382,3.899073,3.543524,
4.640312,3.430397,3.537421,4.739263,3.932729,3.411959,4.296243,4.118944,4.149497,4.001941,3.807709,3.336651,4.717667,4.309516,4.774738,4.253310,3.780673,4.482187,3.309644,3.299048,1.519138,3.288331,2.199534,3.286488,1.502293,3.625260,2.108891,2.489821,4.149494,2.882595,4.044177,3.161305,3.561513,3.867651,3.106910,3.175495,3.537920,3.611420,3.799004,3.787665,3.396413,2.757092,3.323828,2.728088,3.293808,3.347859,3.134750,2.566869,2.703590,3.880267,3.376240,3.446205,3.090440,3.123533,3.295723,3.818985,3.112337,3.188323,4.287032,3.561070,4.011964,3.617735,3.522466,3.294791,3.558841,2.869270,3.447028,3.401466,
3.587135,3.028101,3.462686,4.523532,3.646686,2.966088,3.385067,3.769338,3.457158,3.456521,3.132378,2.700580,4.051014,3.507885,3.861628,3.538013,3.270688,3.673875,2.850250,2.844805,2.395057,2.846625,2.449300,1.974645,1.841377,2.812928,1.762092,2.510149,3.304560,2.443077,3.497537,2.850081,3.108032,2.949128,2.857645,3.157092,3.474630,3.130711,3.064329,3.503673,2.988219,2.619321,3.101958,2.792776,2.749935,2.983384,2.916393,2.561220,2.367136,3.473078,2.849279,3.049204,3.315538,2.878474,3.014144,2.935864,2.826868,3.107142,2.906693,3.438911,3.165149,2.929712,3.249015,3.219625,3.057445,3.317407,3.382195,2.838891,
3.860076,3.243948,3.350888,4.628697,3.586396,3.578487,4.083311,3.729829,4.028306,3.958955,3.493509,3.093573,4.675004,3.936850,4.319264,3.676760,3.725070,4.091618,3.291536,2.861303,1.509520,3.289750,2.529456,2.431942,1.500926,2.487859,1.934683,2.386618,3.481065,3.295073,3.380840,2.909619,3.127737,3.632217,3.223176,3.321349,3.271204,3.119576,3.079496,3.459991,2.858267,3.353684,2.660832,3.296779,3.070337,3.615851,2.604085,2.733251,2.898708,3.675722,2.866945,3.498514,3.289160,2.872765,3.531550,3.545982,3.046961,3.333278,4.170741,3.691773,3.564610,3.550948,3.264112,3.271083,3.217988,3.375468,3.700102,3.405898,
4.614651,3.538489,3.569867,5.010670,4.254675,3.547054,4.392795,4.317798,4.474206,4.231187,3.556341,3.284301,4.734007,4.236803,4.881204,3.965768,4.464579,4.568546,3.293829,2.856563,1.510585,3.286798,2.649959,3.278093,1.498468,2.840591,2.441222,2.440571,3.888090,2.867459,4.118831,3.073277,3.780966,3.431446,2.856638,3.707234,3.835269,3.336845,3.791940,4.032952,3.303163,2.738510,3.312797,3.212293,2.942434,3.552733,3.466621,2.887759,3.050451,4.311475,3.525189,3.680286,3.771681,3.275146,3.411249,3.817588,3.664964,3.504168,4.501087,3.606447,4.197992,3.445950,3.919363,3.883661,3.896991,3.697053,3.888694,3.668536,
4.819897,3.682222,4.378482,6.000000,4.632534,4.649160,5.085709,4.768895,4.896768,4.753300,3.929178,4.103754,5.089270,4.978545,5.415772,4.569622,4.930993,4.836779,3.564228,2.873057,2.720569,3.309006,3.209766,3.237906,2.667131,3.362037,2.585352,2.759480,3.839313,3.283071,4.728624,3.784820,4.002769,3.942292,3.788613,3.895977,3.680759,4.409158,3.940189,4.483755,3.929052,2.918323,3.854045,4.000479,3.765949,4.056851,3.979624,3.198090,3.255683,4.657202,3.904224,3.919897,4.266524,3.793931,3.500968,3.969926,3.791039,3.907581,4.497799,4.193534,4.407650,4.492409,4.339472,4.666813,3.994322,4.509692,4.803640,4.335124,
